fieldwork_start_date,fieldwork_end_date,sample_size,pollster,source_url,source_label,force_label,candidate_name,political_family,estimate_percent,days_until_election
2021-10-05,2021-10-11,3010,Odoxa,https://www.odoxa.fr/sondage/intentions-de-vote-2eme-vague/,Wikimedia Commons / Wikipédia 2022,ENS,Emmanuel Macron,centre,26.5,181
2021-10-05,2021-10-11,3010,Odoxa,https://www.odoxa.fr/sondage/intentions-de-vote-2eme-vague/,Wikimedia Commons / Wikipédia 2022,LFI,Jean-Luc Mélenchon,left,9.0,181
2021-10-05,2021-10-11,3010,Odoxa,https://www.odoxa.fr/sondage/intentions-de-vote-2eme-vague/,Wikimedia Commons / Wikipédia 2022,LR,Valérie Pécresse,right,8.5,181
2021-10-05,2021-10-11,3010,Odoxa,https://www.odoxa.fr/sondage/intentions-de-vote-2eme-vague/,Wikimedia Commons / Wikipédia 2022,PCF,Fabien Roussel,left,2.0,181
2021-10-05,2021-10-11,3010,Odoxa,https://www.odoxa.fr/sondage/intentions-de-vote-2eme-vague/,Wikimedia Commons / Wikipédia 2022,PS-PP,Anne Hidalgo,centre_left,4.0,181
2021-10-05,2021-10-11,3010,Odoxa,https://www.odoxa.fr/sondage/intentions-de-vote-2eme-vague/,Wikimedia Commons / Wikipédia 2022,REC,Éric Zemmour,far_right,16.5,181
2021-10-05,2021-10-11,3010,Odoxa,https://www.odoxa.fr/sondage/intentions-de-vote-2eme-vague/,Wikimedia Commons / Wikipédia 2022,RN,Marine Le Pen,far_right,18.5,181
2021-10-09,2021-10-13,4503,Ifop-Fiducial,https://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9224-p-ifop-le-figaro.pdf,Wikimedia Commons / Wikipédia 2022,DLF,Nicolas Dupont-Aignan,sovereigntist_right,2.5,179
2021-10-09,2021-10-13,4503,Ifop-Fiducial,https://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9224-p-ifop-le-figaro.pdf,Wikimedia Commons / Wikipédia 2022,EELV,Yannick Jadot,green,7.0,179
2021-10-09,2021-10-13,4503,Ifop-Fiducial,https://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9224-p-ifop-le-figaro.pdf,Wikimedia Commons / Wikipédia 2022,ENS,Emmanuel Macron,centre,26.0,179
2021-10-09,2021-10-13,4503,Ifop-Fiducial,https://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9224-p-ifop-le-figaro.pdf,Wikimedia Commons / Wikipédia 2022,LFI,Jean-Luc Mélenchon,left,8.0,179
2021-10-09,2021-10-13,4503,Ifop-Fiducial,https://www.commission-des-sondages.fr/notices/files/notices/2021/octobre/9224-p-ifop-le-figaro.pdf,Wikimedia Commons / Wikipédia 2022,LR,Valérie Pécresse,right,10.0,179
