dataset_id,dataset_name,file_path,source_name,source_url,round_scope,extraction_method,sample_size_available,fieldwork_dates_available,publication_date_available,collection_method_available,quota_method_available,margin_of_error_available,commissioner_available,media_partner_available,population_available,error_bars_ready,corrected_plot_ready,notes,status
sample_polls,Sample dashboard dataset,data/processed/sample_polls.csv,sample_data,https://example.org/sample,mixed,manual_sample,true,true,true,true,true,true,true,true,true,true,false,Fictitious rows for dashboard smoke testing only.,demo
wikipedia_2027_v1,Wikipedia extraction V1,data/processed/wikipedia_2027_polls_normalized.csv,wikipedia_fr_excel_extraction,https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027,mixed,excel_v1,true,true,true,false,false,false,false,false,false,false,false,Scenario names and methodology fields remain incomplete without notice enrichment.,partial
wikipedia_2027_v2,Wikipedia extraction V2,data/processed/wikipedia_2027_polls_normalized_v2.csv,wikipedia_excel_v2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2027_French_presidential_election,mixed,excel_v2_vectors,true,true,true,false,false,false,false,false,false,false,false,Structured enough for exploration but still incomplete on methodology and notices.,partial

